time/time_elapsed,time/fps,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/actor_loss
34,169,5921,836,,,82.11669158935547,-3.987121343612671,2920,0.7411880493164062,9.940678661759928e-05,-33.527103424072266
35,168,5949,840,,,52.58916473388672,-4.006077289581299,2948,0.7391238212585449,9.94039892565031e-05,-35.965065002441406
35,168,5985,844,,,67.33199310302734,-4.057119369506836,2984,0.736478328704834,9.940039276504826e-05,-35.24085235595703
,,6000,,8.2,-6.5240715,83.65061950683594,-4.0816450119018555,2999,0.7353793978691101,9.939889426534672e-05,-35.24938201904297
35,167,6013,848,,,64.05793762207031,-4.088940620422363,3012,0.734426736831665,9.939759558387857e-05,-34.702415466308594
36,166,6049,852,,,71.23587036132812,-4.133609294891357,3048,0.7317996025085449,9.939399932375035e-05,-34.73929214477539
36,166,6085,856,,,68.28811645507812,-4.153439521789551,3084,0.7291827201843262,9.939040319373682e-05,-35.00670623779297
,,6100,,8.2,-6.4390743,78.57151794433594,-4.225651741027832,3099,0.7280943393707275,9.938890484463195e-05,-33.987892150878906
36,165,6121,860,,,73.61404418945312,-4.2569804191589355,3120,0.7265738248825073,9.938680719383326e-05,-34.56025695800781
37,164,6157,864,,,56.900230407714844,-4.280606269836426,3156,0.7239742875099182,9.938321132403497e-05,-33.926456451416016
37,164,6185,868,,,49.89049530029297,-4.337793350219727,3184,0.7219607830047607,9.938041462636039e-05,-33.607818603515625
,,6200,,9.0,-6.912961900000001,62.97577667236328,-4.3417134284973145,3199,0.7208837866783142,9.937891642783708e-05,-33.771217346191406
37,163,6213,872,,,53.91106414794922,-4.324301242828369,3212,0.719951331615448,9.93776180073864e-05,-33.888160705566406
38,163,6241,876,,,57.86484909057617,-4.392766952514648,3240,0.7179473042488098,9.937482146711079e-05,-34.64549255371094
38,162,6277,880,,,60.13117980957031,-4.406362533569336,3276,0.7153798937797546,9.937122603096275e-05,-34.16011047363281
