time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef
427,14934,1964,34,,,,,,,,
427,14957,1968,34,,,,,,,,
428,14980,1972,34,,,,,,,,
428,14994,1976,34,,,,,,,,
,15000,,,7.3,-3.6623838999999996,,,,,,
427,15033,1980,35,,,,,,,,
427,15057,1984,35,,,,,,,,
428,15086,1988,35,,,,,,,,
,15100,,,7.8,-4.9210184,,,,,,
426,15101,1992,35,,,,,,,,
427,15144,1996,35,,,,,,,,
428,15157,2000,35,,,,,,,,
428,15181,2004,35,,,,,,,,
428,15189,2008,35,,,,,,,,
,15200,,,13.7,-9.979339999999997,,,,,,
426,15216,2012,35,,,,,,,,
426,15239,2016,35,,,,,,,,
427,15264,2020,35,,,,,,,,
,15300,,,7.4,-3.5120956999999997,,,,,,
426,15304,2024,35,,,,,,,,
426,15332,2028,35,,,,,,,,
427,15364,2032,35,,,,,,,,
,15400,,,10.0,-6.0536334,,,,,,
425,15405,2036,36,,,,,,,,
426,15441,2040,36,,,,,,,,
427,15468,2044,36,,,,,,,,
,15500,,,7.3,-3.7012717000000004,,,,,,
426,15507,2048,36,,,,,,,,
427,15547,2052,36,,,,,,,,
427,15577,2056,36,,,,,,,,
,15600,,,8.3,-4.9454598,,,,,,
426,15601,2060,36,,,,,,,,
426,15617,2064,36,,,,,,,,
427,15651,2068,36,,,,,,,,
427,15670,2072,36,,,,,,,,
428,15690,2076,36,,,,,,,,
,15700,,,8.0,-3.9237577000000003,,,,,,
426,15712,2080,36,,,,,,,,
427,15744,2084,36,,,,,,,,
428,15775,2088,36,,,,,,,,
,15800,,,10.4,-7.078852,,,,,,
426,15803,2092,37,,,,,,,,
426,15828,2096,37,,,,,,,,
427,15869,2100,37,,,,,,,,
427,15878,2104,37,,,,,,,,
,15900,,,11.6,-7.235127199999999,,,,,,
425,15902,2108,37,,,,,,,,
426,15922,2112,37,,,,,,,,
426,15954,2116,37,,,,,,,,
427,15994,2120,37,,,,,,,,
,16000,,,10.3,-5.9011572,,,,,,
425,16034,2124,37,,,,,,,,
426,16061,2128,37,,,,,,,,
427,16088,2132,37,,,,,,,,
,16100,,,7.2,-4.5566197,,,,,,
425,16106,2136,37,,,,,,,,
426,16127,2140,37,,,,,,,,
426,16149,2144,37,,,,,,,,
427,16178,2148,37,,,,,,,,
,16200,,,7.4,-4.0907673,,,,,,
425,16204,2152,38,,,,,,,,
426,16226,2156,38,,,,,,,,
427,16259,2160,38,,,,,,,,
427,16286,2164,38,,,,,,,,
,16300,,,8.1,-4.8710626,,,,,,
